author,authorbio,issueurl,pdfname,section,title,titlegroup
DANA GILKES," was born in Barbados and later 
emigrated to the U.S. where she received her Masters in English and Comparative Literature from Columbia University. She was adjudged the over-all winner of the 1997 Commonwealth Short Story Competition sponsored by the Commonwealth Foundation in London, and was a recent recipient of the Frank Collymore Literary Endowment Award, Barbados’ most prestigious literary award to date. Some of her poems and short stories have appeared in magazines and literary journals both at home in Barbados and abroad, including COMMONWEALTH BROADCASTER The magazine of the Commonwealth Broadcasting Association, POUI Cave Hill Literary Annual, published by the University of the West Indies, and BEYOND THE FRONTIER, an anthology published by Black Press. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
JOSE B. GONZALEZ," is an Associate Professor of 
English at the US Coast Guard Academy.  He has published works in the Providence Journal, The New England Quarterly, The Teaching Professor, College Literature, and he has been nominated for the Pushcart Prize for a poem published in Melting Trees Review.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
DRISANA DEBORAH JACK," is at the articulate edge of a small and exciting batch 
of young St. Martiners who are simultaneously busy in literature, art, dance, song and music, lighting an unprecedented crop of creative fires.  In 1995 and again in 2000 she represented the Netherlands Antilles at CARIFESTA.  In 1996 she was granted a fellow at the Caribbean Writers Institute at the University of Miami.  Ms. Jack is the author of the collection of Poems The Rainy Season. A Graduate of Marist College, Ms. Jack is currently completing an MFA in the visual arts at SUNY, Buffalo.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
DEANNE KENNEDY," is a Barbadian writer, poet and artist. 
She has been keen on writing since childhood, and has had some success home and abroad. In September 1999 she was presented with an International Poet of Merit award in Washington, D. C., and in October 1999 she was invited to perform at a concert by a Barbadian group in Boston as she also writes in Barbadian dialect, and writes and sings calypsos. Her poetry has been published in several American anthologies. Deanne is married with three children. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
ANU LAKHAN," was born and lives in Trinidad and 
Tobago. She has worked in advertising and as a film reviewer.  Currently she is a features editor at the Trinidad Express. Her stories, poems and reviews have been published in the Trinidad & Tobago Review, the Trinidad Guardian, the Trinidad Express, the Jamaica Observer, Prometheus, and Small Print. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
CLIFFORD MASON," has been in theater for over thirty years, 
first as a playwright, then as an actor and finally a director.  He has also produced Equity Stock productions.  His plays have been performed in New York at Café La Mama, on Theater Row, and at Henry Street; in Connecticut at the O’Neill and in Los Angeles at the Mark Taper.  He’s acted for Public Theater, on PBS, on Theater Row, at La Mama and in Soaps.  Both the Daily News and the New York Times have favorably reviewed him as a director.  He’s also published many articles on theater and the arts in general in the New York Times, New York and Life magazines et. al., and he most recently appeared on A&E’s Biography of Sidney Poitier.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
DWIGHT MAXWELL," lives in New York, where he 
teaches creative writing at East Side Community high school.  He received a  MFA in Creative Writing from New York University.  He is published in such literary journals as: Callaloo, Force 10 (based in Ireland), Southern University of California Press and Die Aussensite Des Elementes (A German Journal of Arts and letters).  Dwight Maxwell has also performed readings at Hamburg Universitate, the Berlin Literature House and around the New York area.  He is currently working on a book of poems for publication by the Die Aussensite Des Elementes Press.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
SHARA McCALLUM," was born in Jamaica and emigrated to the US at the age of nine with her family. Her first book, The Water Between Us, won the 1998 Agnes Lynch Starrett Prize and was published in 1999 by the University of Pittsburgh Press. She currently lives in Tennessee and teaches at the University of Memphis. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
THOHMAS McCONNELL,"’s fiction has appeared 
most recently in ORB Literary Magazine, published in Atlanta.  He teaches at the University of South Carolina, Spartanburg.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
,,http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
OPAL PALMER ADISA," writes what writes her, poems, stories, introspections. Her forthcoming novel, No Regrets, continues her style of fusing Caribbean and African folk-magic. Her other works are: It Begins With Tears, (novel); Leaf-of-Life; Tamarind and Mango Women; Traveling Women (poetry). She has read and has been published internationally.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
GIBI BACILIO,", from Curaçao, is both a writer and a prolific performer of his own poetry. He studied theater in the Netherlands, but came back to his native island, where he obtained a job in the field of education. 'Kueru market (Branded) published in 2000 by Carilexis is his first volume of poetry. Bacilio has a long history of reciting poetry, going back to as early as the ""roaring sixties"".",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
FABIAN ADEKUNLE BADEJO,", who studied Caribbean literature in Spain, is an author and former Nigerian diplomat who has made St. Martin his home since 1981. In the early 1980s he was the director of the St. Maarten Council on the Arts, and from 1989 to the late 1990s he was the editor of the daily newspaper The St. Maarten Guardian. In 1989, Badejo’s Claude—A Portrait of Power was published by IFE International Publishing House. He has been deeply involved with the cultural and social life of the island, and has done extensive writing on politics and current affairs, and on the nation’s artists and artistic life. Badejo is one of the primary writers of the profiles in the book St. Martin Massive! A Snapshot on Popular Artists (House of Nehesi Publishers, 2000). ",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
GERTHIE OWTRAM," holds a Masters in Journalism 
degree from Columbia University, and spent several years as a professional journalist.  She studied creative writing at The Writer’s Voice.  She is currently working on a book of essays about life in the Caribbean.  An Anthology of poetry entitled Three Jewels- Selected Poets will be published by an affiliated of Barnes and Nobles.  She has also completed a work of erotic fiction entitled Tropical Sensations of Natural Pleasures, and has published a chapbook of selected poems from earlier works called Then.  A featured reader of the New York Public Library Reading series, Poetry In The Branches, Ms. Owtram believes that all profound human experiences eventually become poetry.  Married with a son, she lives in the French West Indies and in New York.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
JENNIFER PALMER," has studied fiction at 
The Writer’s Voice and at Brooklyn College where she received an MFA in Fiction. She is also a graduate of Howard University and The Bank Street College of Education. Ms. Palmer is a recipient of a 1998 NYFA fellowship. This Trinidad and Tobago native is currently working on a novel, tentatively called, A Portrait of Bernadette.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
MIRIAM SA’UDA PEREZ," was born in New York 
City and raised in Brooklyn, NY. In 1993, while pregnant with her daughter, she took her first trip to Barbados - the homeland of her maternal grandparents. She studied creative writing at the City University of New York and as a participant in the National Book Foundation’s writing program. Her work will be featured in the forthcoming anthologies QUIET STORM and VINYL DONUTS. She lives in Brooklyn with her daughter. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
FELIX DE ROOY," is a  filmmaker, visual artist, 
writer and theater-director. de Rooy, who was born in Curaçao,  has lived in Surinam and New York, and presently lives in the Netherlands.  He obtained a Master’s of Fine Arts degree in film directing from New York University.  Presently, he teaches film directing and film analysis at the Open Studio in Amsterdam.  He is also a columnist for Contrast, a weekly magazine.  Mr. Rooy has been awarded numerous awards for his creative works, and has been included in several exhibitions.  His films, Ava and Gabriel, and Almacita di Desolato, are very well known. ",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
JUNE SPALDING," tries for her poetry to represent disparate perspectives flavored by distinct subtleties. Her diverse background enriches a poetic background that wrestles with the peculiar tensions and vantage-point of two homelands: one florida, and the other the Caribbean.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
CAROLLE BOURNE,", a product of St Vincent, Windward Islands, began a writing career in Trinidad as an advertising copywriter, moving on to journalism and the United States before settling in Barbados in the late seventies. A writer for all seasons, there's a poetry collection set for publication in 2001.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
DOMINIQUE BREBION," Titulaire d'un DEA de lettres modernes Les Armes Miraculeuses  D'aimé Césaire et Les Armes Enchantées de Wijredo Lam ou le Dialogue du Scriptural et de Figural. Diplomée de L'Ecole Supérieure de Journalisme (Paris); Conseiller pour les arts plastiques á la Direction R&eacutp;gionale des Affaires culturelles de Martinique (Ministere de la Culture) depuis 1987; Vice - présidente de l'AICA Caraibes du sud; Fondatrice de la revue ARTHEME.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
MICHAEL A. BROWN," Received his BA (honors) in art history from McGill University in Montreal and MA from the Institute of Fine Arts, NYU, where he is currently a PhD candidate. His areas of research include Spanish art of the 17th and 18th centuries, Latin American art during the colonial period, and 20th century Mexican and Puerto Rican art. He is currently working on a doctoral dissertation on portraiture in Mexico and the Spanish Caribbean during the 17th and 18th centuries.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
MICHELA A. CALDERARO,", an associate editor of CALABASH, teaches English and postcolonial literature at the University of Trieste (Italy). She has written numerous articles on, among others, Henry James, Laurence Sterne and Lord Byron, as well as a book on Ford Madox Ford. Her critical study of James Joyce's Dubliners is due out by the end of the year. Ms. Calderaro currently works on Anglophone Caribbean women writers and is completing a comparative study of Creole writers Jean Rhys, Phyllis Shand Allfrey and Eliott Bliss.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
MARIANNA DE TOLENTINO," is an art critic 
based in the Dominican Republic.  She is the Director of Centro Cultural Cariforo, and is an art critic for the Listin Dario (Dominican Republic), and an art correspondent for Art Nexus, a Colombian art magazine.  She is president of the Dominican Art Critics Association, and an International Member of the International Art Critics Association.  She served as an International Juror at Arte’99, a visual arts competition and exhibition held in Curaçao in 1999, featuring the visual arts of Aruba and the Netherlands Antilles.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
LIDIA TORRES," lives in Brooklyn. 
Her poems have appeared in The Massachusetts Review, Hayden’s Ferry Review, and are forthcoming in Bilingual Review/Revista Bilingue and the Beacon Best of 2000.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
EVIE VERNON," defines herself as an 
Anglican deaconess, womanist theologian, ecumenicist, mother of one son, writer.",http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
,,http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
MYRIAM J.A. CHANCY,", is a Haitian writer, poet and essayist. Her most recent books are Framing Silence: Revolutionary Novels by Haitian Women (Rutgers UP, 1997) and Searching for Safe Spaces: Afro-Caribbean Women Writers in Exile (Temple UP, 1997); the latter is a recipient of an Outstanding Academic Book Award from the editor's of Choice, the journal of the American Library Association. The interview in CALABASH is part of a longer dialogue which will appear in her upcoming work, Indigo Dreams: Haiti, the Dominican Republic, and Cuba.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
EDWIDGE DANTICAT," is the author of two novels, Breath, Eyes, Memory, and The Farming of Bones, and a collection of short stories, Krik? Krak! She is also the editor of The Beacon Best of 2000 and The Butterfly's Way: Voices from the Haitian Dyaspora in the United States",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
GERARD DAPENA, is a doctoral candidate in Art History at the City University of New York. He is also a faculty member at Parsons School of Design. His dissertation examines the dialogue between Spain's cinema and its pictorial tradition in the early Post-Civil War era. His research interests include Latin American Art and cinema.,http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
NYDIA ECURY,Aruba born ,http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
WINSTON FARRELL," is the Cultural Arts Officer at the Barbados Youth Service. As a theater arts practitioner, Winston has been consistent as an actor for 25 years performing in over two dozen plays. His poetry has been published in a number of journals and anthologies. He is also a well known dub/performing poet.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
SAM GARRETT'S," translations of narratives and poetry have appeared in many publications. Born in the United States, he lives in Amsterdam where he is a poet and a freelance translator.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
,,http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
ROSE MARY ALLEN," isa scholar and researcher 
from Curaçao, who has organized several events related to the arts and 
culture of the Netherlands Antilles. She has been widely published.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
JACQUELINE BISHOP," is the founding editor of 
Calabash: a journal of Caribbean Arts and Letters. She holds both an MA in English and 
an MFA in Creative Writing from New York University. The recipient of several prizes, 
fellowships and creative writing awards, she has published short stories and poetry, 
in, among others, The Caribbean Writer, Callaloo and Crab Orchard Review.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
SUSAN BRENNAN," is currently a graduate student 
of creative writing at New York University. She has previously studied with Donna 
Masini and organized poetry readings throughout New York City. Susan is also a member 
of the theatre company, Collapsable Giraffe. ",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
,,http://www.nyu.edu/calabash/vol1no1/contributors_vol1no1.shtml,,,,
,,http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
OPAL PALMER ADISA," is a writer of poems, stories, 
        introspections. She has published several works: It Begins With Tears 
        (novel); Leaf-of-Life, Tamarind and Mango Women, and Traveling Women (poetry). 
        Her forthcoming novel is entitled, No Regrets. She has been published 
        internationally.",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
NICOLETTE BETHEL," was born in The Bahamas 
        and educated in Nassau, Canada and Britain. At present, she is a lecturer 
        at The College of The Bahamas in the Schools of English Studies and Social 
        Sciences. She holds a Ph.D. in Social Anthropology from the University 
        of Cambridge, and is a researcher in the fields of Bahamian national identity 
        and of Junkanoo. She is the editor of Junkanoo: Festival of The Bahamas 
        (Macmillan Caribbean, 1991), as well as a playwright, poet and writer 
        of fiction. Her fiction and poetry have appeared in various collections, 
        among them The Oxford and Cambridge May Anthologies; Review: Latin American 
        Literature and Arts; The Amherst Review; and The Caribbean Writer, as 
        well as several other journals. Most recently, her play Powercut was made 
        into an independent film (Plantation Pictures, 2001). She lives in Nassau.",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
,,http://www.nyu.edu/calabash/contributors.shtml,,,,
"Dr. Opal Palmer Adisa, ","Jamaica-born, is a sought-after speaker who has lectured throughout the United States, South Africa, Ghana, Nigeria, Germany, England and Prague. An award-winning poet and prose writer Dr. Adisa has eleven titles to her credit, including the novel, It Begins With Tears (1997), that Rick Ayers proclaimed as one of the most motivational works for young adults. She has been a resident artist in internationally acclaimed residencies such as Binational Fulbright Institute (Egypt), Sacatar Institute (Brazil) and Headlines Center for the Arts (California, USA). Opal Palmer Adisa’s work has been reviewed by Ishmael Reed, Al Young, and Alice Walker (Color Purple), who described her work as “solid, visceral, important stories written with integrity and love.”",http://www.nyu.edu/calabash/contributors.shtml,,,,
"Gwyneth Barber-Wood, ","Though she came late to poetry, Gwyneth Barber-Wood made up for it with an all-consuming passion and dedication to the craft; and her poetry deepened emotionally and grew in mastery, year by year. She was a regular contributor to the Jamaica Observer Arts Magazine and, latterly, the Sunday Gleaner Arts Section. Her first collection, The Garden of Forgetting, was published by Peepal Tree Press (Leeds, England) in 2005; a second collection is forthcoming.  At her death, Barber-Wood was one of Jamaica's leading poets and was acquiring an international reputation.",http://www.nyu.edu/calabash/contributors.shtml,,,,
SHAYLA HAWKINS," is a 24-year-old native Detroiter whose writings have been appeared in, among other publications, California Quarterly, Maryland Review, Windsor Review, Paris/Atlantic, and Poets & Writers. She currently works as an associate editor, but would instantly leave the United States and become a full-time Caribbean beachcomber if she could afford it.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
JOHN KEENE," is the author of the award-winning novel Annotations and the recently completed poetry collection Heroic Figures. His work, which has been published widely, has garnered numerous honors. He has taught at NYU for several years and currently is the Simon Blattner Visiting Assistant Professor of Creative Writing at Northwestern University.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
DEANNE KENNEDY," is a Barbadian writer, poet and artist. She also does political cartoons, illustrates Christmas cards and paper, and makes original, one of a kind dolls. Her work has been published in five 'International Society of Poetry' anthologies, as well as in several collections in her own country. In September 1999 she received an International Poet of Merit Award in Washington D.C. and in October 1999 she was invited to perform at a concert by a Barbadian group in Boston, as she writes in Barbadian dialect, and also writes and sings her own calypsoes. Deanne is married with three children.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
SHARA MCCALLUM,"From Kingston, Jamaica, ",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
TONY MONSANTO," was born in Curaçao, Netherlands Antilles in 1946. His family moved to the Netherlands when he was nine years old. He was educated at the State Academy of Fine Arts (Rijksacademie voor beeldende kunst), Amsterdam. He also graduated as an architect from the University of Delft, the Netherlands and has worked in Germany, the Netherlands and Curacao (Netherlands Antilles). Since 1992 he has worked exclusively as a visual artist, and lives in Curaçao.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
GERTHIE OWTRAM,", a New Yorker, holds a Masters degree in Journalism from Columbia University. She spent several years as a professional journalist with CBS News, Newsweek and Associated Press as a reporter/researcher in New York and the West Indies. In addition to being previously published in CALABASH, she has also published articles in Islander Magazine and in The Journal of Specialized English of the University of the French West Indies, where she taught English for a number of years. She is presently on sabbatical from her position as Head of the Foreign Language Division for the Chamber of Commerce in Martinique. Married with a son, she lives in the French West Indies and in New York where she produces a television series for Manhattan Neighborhood Network cable stations.",http://www.nyu.edu/calabash/vol1no2/contributors_vol1no2.shtml,,,,
MICHELA A. CALDERARO,", an editor of Calabash, 
teaches English and Post colonial literature at the University of Trieste (Italy). 
She has written numerous articles on, among others, Henry James, Laurence Sterne and 
Lord Byron, as well as a book on Ford Madox Ford. She also works extensively on 
Caribbean women writers.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
CHRISTIAN A. CAMPBELL,", a Trini-Bahamian, was 
born and raised in the Bahamas. He is a doctoral student in English at Duke University. 
His poetry has appeared in The Caribbean Writer, Atlanta Review, as well as other 
journals and anthologies.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
JAMES CARMICHAEL," is a French and Spanish 
translator and interpreter who is currently residing in Sheffield, England, 
where he has just completed a Master's degree in computer science. He is 
currently working on his first novel as well as a collection of what he terms 
""third world science fiction"" short stories.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
GUS EDWARDS," is from St. Thomas, V.I. in the 
Caribbean. Between 1977 and 1993 he had 9 plays presented at the famed Negro Ensemble 
Company, making him (along with Charles Fuller) that Company's most produced playwright. 
In 1985 he co-authored the TV adaptation of James Baldwin's novel, Go tell It On The 
Mountain, and in 1998 co-authored the narration for the PBS American Masters documentary,
 The Negro Ensemble Company. Currently, he is a tenured Associate Professor at Arizona State University.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
DANIELLE LEGROS GEORGES," is a writer and translator. 
Her first book of poems, Maroon, was recently published by Curbstone Press.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
MAGGIE HARRIS," was born in Guyana in 1954 and 
immigrated to England in 1971. She attended the University of Kent, Canterbury, as 
a mature student and attained a BA in African/Caribbean Studies and an MA in Post-Colonial 
Studies. A creative writing tutor, she has won many awards, the most prestigious so far, 
the Guyana Prize for Literature, 2000, for her first collection of Poetry, Limbolands, 
(Mango Publishing, UK). Limbolands has also been submitted for the Casa de Las Americas 
Award 2000-2001.",http://www.nyu.edu/calabash/vol2no1/contributors_vol2no1.shtml,,,,
CHRISTIAN CAMPBELL,", a Trinidadian-Bahamian 
        poet and critic, was born and raised in The Bahamas. His work has appeared 
        in The Caribbean Writer, Calabash, Atlanta Review, International Poetry 
        Review and other journals. He is currently reading English at Balliol 
        College, University of Oxford on a Commonwealth Caribbean Rhodes Scholarship 
        and completing his first collection of poetry. ",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
LOUIS-PHILIPPE DALEMBERT’S," published 
        works include: L’Autre face de la mer; Le Crayon du Bon Dieu n’a 
        pas de gomme; among others. His works have been translated in Italian, 
        Danish, Serb and Portuguese. Born in Port-au-Prince, Haiti, he now lives 
        in Paris, France. ",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
LILA DÍAZ,", (Santiago de Chile, 1975) 
        is a poet and a visual artist. She studied design in Chile and currently 
        is studying sculpture at the School of Visual Arts in New York. Her artistic 
        work has always combined poetry with visual arts, as in the audiovisual 
        poem ""Géneros"" (1996), shown in the Costa Rica Short 
        Film Festival and the Santiago International Book Fair. In 1997 she was 
        granted a Creative Writing Fellowship for the Pablo Neruda Poetry Workshop. 
        She has published two books of poetry: ""Cacería"" (Editorial 
        RIL, 1999) and ""Léxico Fuego"" (Editorial del Temple, 
        2001).",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
GARFIELD ELLIS," was a James Michener fellow 
        to the Caribbean Writers Summer Institute at the University of Miami in 
        1992 and 1993. He later received a full scholarship to The University 
        of Miami where he completed his Master of Fine Arts degree. He is now 
        the Operations Manager at the Jamaica Observer. Ellis’s writing 
        has been widely published. His story Breeze won the Heineman/Lifestyle 
        short story competition in 1990 and Caney has been included in Longman’s 
        Caribbean New Voices collection for 1996. Another short story was published 
        in the Winter 1997 issue of Callaloo. His first collection Flaming Hearts 
        and other Stories won the prestigious Una Marson Award for adult fiction 
        in the Jamaica National literary awards. In 1999, his novel (manuscript), 
        Till I’m laid To Rest, also won the Una Marson Award for Adult Fiction. 
        His newest Collection, Wake Rasta and Other Stories was published in January 
        2002. Macmillan Publishers will be putting out his novel, Such As I Have.",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
 PHEBUS ETIENNE,"Born in Port-au-Prince, Haiti,",http://www.nyu.edu/calabash/vol2no2/contributors_vol2no2.shtml,,,,
"Cheryl Boyce-Taylor, ","Born in Trinidad and raised in New York City Cheryl Boyce-Taylor is a poet and teaching artist. She is the author of three collections of poetry, Convincing the Body, Night When Moon Follows, and Raw Air. Boyce-Taylor's poems have been included in numerous literary journals, including, The Mom Egg, Bowery Women, Voices Rising, Callaloo, and Carry the Word. She works as a Poetry Mentor for Urban WordNYC, and is currently enrolled at Stonecoast MFA Program at the University of Southern Maine.",http://www.nyu.edu/calabash/contributors.shtml,,,,
"Michela A. Calderaro, ","an Associate Editor of Calabash: A Journal of Caribbean Arts and Letters, teaches English and Postcolonial Literature at the University of Trieste (Italy). Ms. Calderaro, whose critical works include a book on Ford Madox Ford and numerous articles on British, American and Anglophone Caribbean women writers, is currently working on Creole writer Eliot (Eileen) Bliss’s biography.  Her edition of unpublished poems by Eliot Bliss is due out by Fall 2008.",http://www.nyu.edu/calabash/contributors.shtml,,,,
"Myriam J. A. Chancy, ","Ph.D., is a Haitian writer born in Port-au-Prince, Haiti, and educated in Québec City, Winnipeg and Halifax. Her first novel, Spirit of Haiti (London : Mango Publications, 2003), was a finalist in the Best First Book Category, Canada/Caribbean region, of the Commonwealth Prize 2004.  She is also the author of two books of literary criticism, Framing Silence: Revolutionary Novels by Haitian Women (Rutgers UP, 1997) and Searching for Safe Spaces: Afro-Caribbean Women Writers in Exile (Temple UP, 1997).  Searching for Safe Spaces was awarded an Outstanding Academic Book Award 1998 by Choice, the journal of the American Library Association.  She is also the author of a second novel, The Scorpion's Claw (Peepal Tree Press, 2005).  Her work as the Editor-in-Chief of the Ford funded academic/arts journal, Meridians: feminism, race, transnationalism (2002-2004) was recognized with the Phoenix Award for Editorial Achievement (2004).  She has just completed a third novel entitled, The Loneliness of Angels, a memoir, Fractured, and is at work on a book length academic work entitled, Floating Islands: Cosmopolitanism, Transnationalism and Racial Identity Formation.  She is currently Professor of English at Louisiana State University in Baton Rouge, Louisiana.",http://www.nyu.edu/calabash/contributors.shtml,,,,
